Year10y,CAgeF5y,CAgeM5y,SibStrF,SibStrM,NofMar,Pop_atRiskF,Pop_atRiskM
1980-1989,45-49,30-34,Daughter w/ brothers,Eldest son w/ brothers,0,40,4809
1980-1989,45-49,30-34,Daughter w/ brothers,Younger son,0,40,8644
1980-1989,45-49,35-39,Only child,Only child,0,0,250
1980-1989,45-49,35-39,Only child,Eldest son w/o brothers,0,0,1071
1980-1989,45-49,35-39,Only child,Eldest son w/ brothers,0,0,1083
1980-1989,45-49,35-39,Only child,Younger son,0,0,2095
1980-1989,45-49,35-39,Eldest daughter w/o brothers,Only child,0,1,250
1980-1989,45-49,35-39,Eldest daughter w/o brothers,Eldest son w/o brothers,0,1,1071
1980-1989,45-49,35-39,Eldest daughter w/o brothers,Eldest son w/ brothers,0,1,1083
1980-1989,45-49,35-39,Eldest daughter w/o brothers,Younger son,0,1,2095
1980-1989,45-49,35-39,Younger daughter w/o brothers,Only child,0,3,250
1980-1989,45-49,35-39,Younger daughter w/o brothers,Eldest son w/o brothers,0,3,1071
1980-1989,45-49,35-39,Younger daughter w/o brothers,Eldest son w/ brothers,0,3,1083
1980-1989,45-49,35-39,Younger daughter w/o brothers,Younger son,0,3,2095
1980-1989,45-49,35-39,Daughter w/ brothers,Only child,0,40,250
1980-1989,45-49,35-39,Daughter w/ brothers,Eldest son w/o brothers,0,40,1071
1980-1989,45-49,35-39,Daughter w/ brothers,Eldest son w/ brothers,0,40,1083
1980-1989,45-49,35-39,Daughter w/ brothers,Younger son,0,40,2095
1980-1989,45-49,40-44,Only child,Only child,0,0,59
1980-1989,45-49,40-44,Only child,Eldest son w/o brothers,0,0,185
1980-1989,45-49,40-44,Only child,Eldest son w/ brothers,0,0,219
1980-1989,45-49,40-44,Only child,Younger son,0,0,384
1980-1989,45-49,40-44,Eldest daughter w/o brothers,Only child,0,1,59
1980-1989,45-49,40-44,Eldest daughter w/o brothers,Eldest son w/o brothers,0,1,185
1980-1989,45-49,40-44,Eldest daughter w/o brothers,Eldest son w/ brothers,0,1,219
1980-1989,45-49,40-44,Eldest daughter w/o brothers,Younger son,0,1,384
1980-1989,45-49,40-44,Younger daughter w/o brothers,Only child,0,3,59
1980-1989,45-49,40-44,Younger daughter w/o brothers,Eldest son w/o brothers,0,3,185
1980-1989,45-49,40-44,Younger daughter w/o brothers,Eldest son w/ brothers,0,3,219
1980-1989,45-49,40-44,Younger daughter w/o brothers,Younger son,0,3,384
1980-1989,45-49,40-44,Daughter w/ brothers,Only child,0,40,59
1980-1989,45-49,40-44,Daughter w/ brothers,Eldest son w/o brothers,0,40,185
1980-1989,45-49,40-44,Daughter w/ brothers,Eldest son w/ brothers,0,40,219
1980-1989,45-49,40-44,Daughter w/ brothers,Younger son,0,40,384
1980-1989,45-49,45-49,Only child,Only child,0,0,4
1980-1989,45-49,45-49,Only child,Eldest son w/o brothers,0,0,13
1980-1989,45-49,45-49,Only child,Eldest son w/ brothers,0,0,30
1980-1989,45-49,45-49,Only child,Younger son,0,0,40
1980-1989,45-49,45-49,Eldest daughter w/o brothers,Only child,0,1,4
1980-1989,45-49,45-49,Eldest daughter w/o brothers,Eldest son w/o brothers,0,1,13
1980-1989,45-49,45-49,Eldest daughter w/o brothers,Eldest son w/ brothers,0,1,30
1980-1989,45-49,45-49,Eldest daughter w/o brothers,Younger son,0,1,40
1980-1989,45-49,45-49,Younger daughter w/o brothers,Only child,0,3,4
1980-1989,45-49,45-49,Younger daughter w/o brothers,Eldest son w/o brothers,0,3,13
1980-1989,45-49,45-49,Younger daughter w/o brothers,Eldest son w/ brothers,0,3,30
1980-1989,45-49,45-49,Younger daughter w/o brothers,Younger son,0,3,40
1980-1989,45-49,45-49,Daughter w/ brothers,Only child,0,40,4
1980-1989,45-49,45-49,Daughter w/ brothers,Eldest son w/o brothers,0,40,13
1980-1989,45-49,45-49,Daughter w/ brothers,Eldest son w/ brothers,0,40,30
1980-1989,45-49,45-49,Daughter w/ brothers,Younger son,2,39,39
1990-1999,15-19,15-19,Only child,Only child,1,5249.5,5317.5
1990-1999,15-19,15-19,Only child,Eldest son w/o brothers,2,5249,28809
1990-1999,15-19,15-19,Only child,Eldest son w/ brothers,1,5249.5,20817.5
1990-1999,15-19,15-19,Only child,Younger son,1,5249.5,24925.5
1990-1999,15-19,15-19,Eldest daughter w/o brothers,Only child,0,12652,5318
1990-1999,15-19,15-19,Eldest daughter w/o brothers,Eldest son w/o brothers,5,12649.5,28807.5
1990-1999,15-19,15-19,Eldest daughter w/o brothers,Eldest son w/ brothers,4,12650,20816
1990-1999,15-19,15-19,Eldest daughter w/o brothers,Younger son,5,12649.5,24923.5
1990-1999,15-19,15-19,Younger daughter w/o brothers,Only child,1,16071.5,5317.5
1990-1999,15-19,15-19,Younger daughter w/o brothers,Eldest son w/o brothers,3,16070.5,28808.5
1990-1999,15-19,15-19,Younger daughter w/o brothers,Eldest son w/ brothers,5,16069.5,20815.5
1990-1999,15-19,15-19,Younger daughter w/o brothers,Younger son,7,16068.5,24922.5
1990-1999,15-19,15-19,Daughter w/ brothers,Only child,6,48614,5315
1990-1999,15-19,15-19,Daughter w/ brothers,Eldest son w/o brothers,13,48610.5,28803.5
1990-1999,15-19,15-19,Daughter w/ brothers,Eldest son w/ brothers,19,48607.5,20808.5
1990-1999,15-19,15-19,Daughter w/ brothers,Younger son,25,48604.5,24913.5
1990-1999,15-19,20-24,Only child,Only child,1,5249.5,6291.5
1990-1999,15-19,20-24,Only child,Eldest son w/o brothers,1,5249.5,31245.5
1990-1999,15-19,20-24,Only child,Eldest son w/ brothers,4,5248,23529
1990-1999,15-19,20-24,Only child,Younger son,3,5248.5,26380.5
1990-1999,15-19,20-24,Eldest daughter w/o brothers,Only child,1,12651.5,6291.5
1990-1999,15-19,20-24,Eldest daughter w/o brothers,Eldest son w/o brothers,2,12651,31245
1990-1999,15-19,20-24,Eldest daughter w/o brothers,Eldest son w/ brothers,4,12650,23529
1990-1999,15-19,20-24,Eldest daughter w/o brothers,Younger son,5,12649.5,26379.5
1990-1999,15-19,20-24,Younger daughter w/o brothers,Only child,2,16071,6291
1990-1999,15-19,20-24,Younger daughter w/o brothers,Eldest son w/o brothers,12,16066,31240
1990-1999,15-19,20-24,Younger daughter w/o brothers,Eldest son w/ brothers,4,16070,23529
1990-1999,15-19,20-24,Younger daughter w/o brothers,Younger son,11,16066.5,26376.5
1990-1999,15-19,20-24,Daughter w/ brothers,Only child,8,48613,6288
1990-1999,15-19,20-24,Daughter w/ brothers,Eldest son w/o brothers,22,48606,31235
1990-1999,15-19,20-24,Daughter w/ brothers,Eldest son w/ brothers,33,48600.5,23514.5
1990-1999,15-19,20-24,Daughter w/ brothers,Younger son,41,48596.5,26361.5
1990-1999,15-19,25-29,Only child,Only child,0,5250,4902
1990-1999,15-19,25-29,Only child,Eldest son w/o brothers,0,5250,21329
1990-1999,15-19,25-29,Only child,Eldest son w/ brothers,0,5250,16049
1990-1999,15-19,25-29,Only child,Younger son,2,5249,17001
1990-1999,15-19,25-29,Eldest daughter w/o brothers,Only child,0,12652,4902
1990-1999,15-19,25-29,Eldest daughter w/o brothers,Eldest son w/o brothers,0,12652,21329
1990-1999,15-19,25-29,Eldest daughter w/o brothers,Eldest son w/ brothers,2,12651,16048
1990-1999,15-19,25-29,Eldest daughter w/o brothers,Younger son,0,12652,17002
1990-1999,15-19,25-29,Younger daughter w/o brothers,Only child,1,16071.5,4901.5
1990-1999,15-19,25-29,Younger daughter w/o brothers,Eldest son w/o brothers,0,16072,21329
1990-1999,15-19,25-29,Younger daughter w/o brothers,Eldest son w/ brothers,2,16071,16048
1990-1999,15-19,25-29,Younger daughter w/o brothers,Younger son,0,16072,17002
1990-1999,15-19,25-29,Daughter w/ brothers,Only child,5,48614.5,4899.5
1990-1999,15-19,25-29,Daughter w/ brothers,Eldest son w/o brothers,10,48612,21324
1990-1999,15-19,25-29,Daughter w/ brothers,Eldest son w/ brothers,5,48614.5,16046.5
1990-1999,15-19,25-29,Daughter w/ brothers,Younger son,8,48613,16998
1990-1999,15-19,30-34,Only child,Only child,0,5250,2265
1990-1999,15-19,30-34,Only child,Eldest son w/o brothers,0,5250,8651
1990-1999,15-19,30-34,Only child,Eldest son w/ brothers,0,5250,6329
1990-1999,15-19,30-34,Only child,Younger son,1,5249.5,7019.5
1990-1999,15-19,30-34,Eldest daughter w/o brothers,Only child,0,12652,2265
1990-1999,15-19,30-34,Eldest daughter w/o brothers,Eldest son w/o brothers,1,12651.5,8650.5
1990-1999,15-19,30-34,Eldest daughter w/o brothers,Eldest son w/ brothers,0,12652,6329
1990-1999,15-19,30-34,Eldest daughter w/o brothers,Younger son,1,12651.5,7019.5
1990-1999,15-19,30-34,Younger daughter w/o brothers,Only child,0,16072,2265
1990-1999,15-19,30-34,Younger daughter w/o brothers,Eldest son w/o brothers,1,16071.5,8650.5
1990-1999,15-19,30-34,Younger daughter w/o brothers,Eldest son w/ brothers,0,16072,6329
1990-1999,15-19,30-34,Younger daughter w/o brothers,Younger son,0,16072,7020
1990-1999,15-19,30-34,Daughter w/ brothers,Only child,2,48616,2264
1990-1999,15-19,30-34,Daughter w/ brothers,Eldest son w/o brothers,1,48616.5,8650.5
1990-1999,15-19,30-34,Daughter w/ brothers,Eldest son w/ brothers,1,48616.5,6328.5
1990-1999,15-19,30-34,Daughter w/ brothers,Younger son,3,48615.5,7018.5
1990-1999,15-19,35-39,Only child,Only child,0,5250,795
1990-1999,15-19,35-39,Only child,Eldest son w/o brothers,0,5250,3001
1990-1999,15-19,35-39,Only child,Eldest son w/ brothers,0,5250,2503
1990-1999,15-19,35-39,Only child,Younger son,0,5250,3327
1990-1999,15-19,35-39,Eldest daughter w/o brothers,Only child,0,12652,795
1990-1999,15-19,35-39,Eldest daughter w/o brothers,Eldest son w/o brothers,0,12652,3001
1990-1999,15-19,35-39,Eldest daughter w/o brothers,Eldest son w/ brothers,0,12652,2503
1990-1999,15-19,35-39,Eldest daughter w/o brothers,Younger son,0,12652,3327
1990-1999,15-19,35-39,Younger daughter w/o brothers,Only child,0,16072,795
1990-1999,15-19,35-39,Younger daughter w/o brothers,Eldest son w/o brothers,0,16072,3001
1990-1999,15-19,35-39,Younger daughter w/o brothers,Eldest son w/ brothers,0,16072,2503
1990-1999,15-19,35-39,Younger daughter w/o brothers,Younger son,0,16072,3327
1990-1999,15-19,35-39,Daughter w/ brothers,Only child,0,48617,795
1990-1999,15-19,35-39,Daughter w/ brothers,Eldest son w/o brothers,0,48617,3001
1990-1999,15-19,35-39,Daughter w/ brothers,Eldest son w/ brothers,1,48616.5,2502.5
1990-1999,15-19,35-39,Daughter w/ brothers,Younger son,0,48617,3327
1990-1999,15-19,40-44,Only child,Only child,0,5250,221
1990-1999,15-19,40-44,Only child,Eldest son w/o brothers,0,5250,1019
1990-1999,15-19,40-44,Only child,Eldest son w/ brothers,0,5250,1047
1990-1999,15-19,40-44,Only child,Younger son,0,5250,1686
1990-1999,15-19,40-44,Eldest daughter w/o brothers,Only child,0,12652,221
1990-1999,15-19,40-44,Eldest daughter w/o brothers,Eldest son w/o brothers,0,12652,1019
1990-1999,15-19,40-44,Eldest daughter w/o brothers,Eldest son w/ brothers,0,12652,1047
1990-1999,15-19,40-44,Eldest daughter w/o brothers,Younger son,0,12652,1686
1990-1999,15-19,40-44,Younger daughter w/o brothers,Only child,0,16072,221
1990-1999,15-19,40-44,Younger daughter w/o brothers,Eldest son w/o brothers,0,16072,1019
1990-1999,15-19,40-44,Younger daughter w/o brothers,Eldest son w/ brothers,0,16072,1047
1990-1999,15-19,40-44,Younger daughter w/o brothers,Younger son,0,16072,1686
1990-1999,15-19,40-44,Daughter w/ brothers,Only child,0,48617,221
1990-1999,15-19,40-44,Daughter w/ brothers,Eldest son w/o brothers,0,48617,1019
1990-1999,15-19,40-44,Daughter w/ brothers,Eldest son w/ brothers,0,48617,1047
1990-1999,15-19,40-44,Daughter w/ brothers,Younger son,1,48616.5,1685.5
1990-1999,15-19,45-49,Only child,Only child,0,5250,47
1990-1999,15-19,45-49,Only child,Eldest son w/o brothers,0,5250,185
1990-1999,15-19,45-49,Only child,Eldest son w/ brothers,0,5250,273
1990-1999,15-19,45-49,Only child,Younger son,0,5250,412
1990-1999,15-19,45-49,Eldest daughter w/o brothers,Only child,0,12652,47
1990-1999,15-19,45-49,Eldest daughter w/o brothers,Eldest son w/o brothers,0,12652,185
1990-1999,15-19,45-49,Eldest daughter w/o brothers,Eldest son w/ brothers,0,12652,273
1990-1999,15-19,45-49,Eldest daughter w/o brothers,Younger son,0,12652,412
1990-1999,15-19,45-49,Younger daughter w/o brothers,Only child,0,16072,47
1990-1999,15-19,45-49,Younger daughter w/o brothers,Eldest son w/o brothers,0,16072,185
1990-1999,15-19,45-49,Younger daughter w/o brothers,Eldest son w/ brothers,0,16072,273
1990-1999,15-19,45-49,Younger daughter w/o brothers,Younger son,0,16072,412
1990-1999,15-19,45-49,Daughter w/ brothers,Only child,0,48617,47
1990-1999,15-19,45-49,Daughter w/ brothers,Eldest son w/o brothers,0,48617,185
1990-1999,15-19,45-49,Daughter w/ brothers,Eldest son w/ brothers,0,48617,273
1990-1999,15-19,45-49,Daughter w/ brothers,Younger son,0,48617,412
1990-1999,20-24,15-19,Only child,Only child,0,5909,5318
1990-1999,20-24,15-19,Only child,Eldest son w/o brothers,1,5908.5,28809.5
1990-1999,20-24,15-19,Only child,Eldest son w/ brothers,1,5908.5,20817.5
1990-1999,20-24,15-19,Only child,Younger son,2,5908,24925
1990-1999,20-24,15-19,Eldest daughter w/o brothers,Only child,0,13978,5318
1990-1999,20-24,15-19,Eldest daughter w/o brothers,Eldest son w/o brothers,0,13978,28810
1990-1999,20-24,15-19,Eldest daughter w/o brothers,Eldest son w/ brothers,1,13977.5,20817.5
1990-1999,20-24,15-19,Eldest daughter w/o brothers,Younger son,3,13976.5,24924.5
1990-1999,20-24,15-19,Younger daughter w/o brothers,Only child,0,16208,5318
1990-1999,20-24,15-19,Younger daughter w/o brothers,Eldest son w/o brothers,3,16206.5,28808.5
1990-1999,20-24,15-19,Younger daughter w/o brothers,Eldest son w/ brothers,2,16207,20817
1990-1999,20-24,15-19,Younger daughter w/o brothers,Younger son,4,16206,24924
1990-1999,20-24,15-19,Daughter w/ brothers,Only child,1,50395.5,5317.5
1990-1999,20-24,15-19,Daughter w/ brothers,Eldest son w/o brothers,9,50391.5,28805.5
1990-1999,20-24,15-19,Daughter w/ brothers,Eldest son w/ brothers,4,50394,20816
1990-1999,20-24,15-19,Daughter w/ brothers,Younger son,7,50392.5,24922.5
1990-1999,20-24,20-24,Only child,Only child,12,5903,6286
1990-1999,20-24,20-24,Only child,Eldest son w/o brothers,17,5900.5,31237.5
1990-1999,20-24,20-24,Only child,Eldest son w/ brothers,25,5896.5,23518.5
1990-1999,20-24,20-24,Only child,Younger son,33,5892.5,26365.5
1990-1999,20-24,20-24,Eldest daughter w/o brothers,Only child,20,13968,6282
1990-1999,20-24,20-24,Eldest daughter w/o brothers,Eldest son w/o brothers,80,13938,31206
1990-1999,20-24,20-24,Eldest daughter w/o brothers,Eldest son w/ brothers,81,13937.5,23490.5
1990-1999,20-24,20-24,Eldest daughter w/o brothers,Younger son,93,13931.5,26335.5
1990-1999,20-24,20-24,Younger daughter w/o brothers,Only child,16,16200,6284
1990-1999,20-24,20-24,Younger daughter w/o brothers,Eldest son w/o brothers,96,16160,31198
1990-1999,20-24,20-24,Younger daughter w/o brothers,Eldest son w/ brothers,78,16169,23492
1990-1999,20-24,20-24,Younger daughter w/o brothers,Younger son,116,16150,26324
1990-1999,20-24,20-24,Daughter w/ brothers,Only child,68,50362,6258
1990-1999,20-24,20-24,Daughter w/ brothers,Eldest son w/o brothers,356,50218,31068
1990-1999,20-24,20-24,Daughter w/ brothers,Eldest son w/ brothers,291,50250.5,23385.5
1990-1999,20-24,20-24,Daughter w/ brothers,Younger son,378,50207,26193
1990-1999,20-24,25-29,Only child,Only child,7,5905.5,4898.5
1990-1999,20-24,25-29,Only child,Eldest son w/o brothers,36,5891,21311
1990-1999,20-24,25-29,Only child,Eldest son w/ brothers,26,5896,16036
1990-1999,20-24,25-29,Only child,Younger son,28,5895,16988
1990-1999,20-24,25-29,Eldest daughter w/o brothers,Only child,19,13968.5,4892.5
1990-1999,20-24,25-29,Eldest daughter w/o brothers,Eldest son w/o brothers,104,13926,21277
1990-1999,20-24,25-29,Eldest daughter w/o brothers,Eldest son w/ brothers,82,13937,16008
1990-1999,20-24,25-29,Eldest daughter w/o brothers,Younger son,106,13925,16949
1990-1999,20-24,25-29,Younger daughter w/o brothers,Only child,29,16193.5,4887.5
1990-1999,20-24,25-29,Younger daughter w/o brothers,Eldest son w/o brothers,139,16138.5,21259.5
1990-1999,20-24,25-29,Younger daughter w/o brothers,Eldest son w/ brothers,85,16165.5,16006.5
1990-1999,20-24,25-29,Younger daughter w/o brothers,Younger son,118,16149,16943
1990-1999,20-24,25-29,Daughter w/ brothers,Only child,80,50356,4862
1990-1999,20-24,25-29,Daughter w/ brothers,Eldest son w/o brothers,394,50199,21132
1990-1999,20-24,25-29,Daughter w/ brothers,Eldest son w/ brothers,359,50216.5,15869.5
1990-1999,20-24,25-29,Daughter w/ brothers,Younger son,371,50210.5,16816.5
1990-1999,20-24,30-34,Only child,Only child,2,5908,2264
1990-1999,20-24,30-34,Only child,Eldest son w/o brothers,11,5903.5,8645.5
1990-1999,20-24,30-34,Only child,Eldest son w/ brothers,6,5906,6326
1990-1999,20-24,30-34,Only child,Younger son,10,5904,7015
1990-1999,20-24,30-34,Eldest daughter w/o brothers,Only child,2,13977,2264
1990-1999,20-24,30-34,Eldest daughter w/o brothers,Eldest son w/o brothers,30,13963,8636
1990-1999,20-24,30-34,Eldest daughter w/o brothers,Eldest son w/ brothers,12,13972,6323
1990-1999,20-24,30-34,Eldest daughter w/o brothers,Younger son,32,13962,7004
1990-1999,20-24,30-34,Younger daughter w/o brothers,Only child,13,16201.5,2258.5
1990-1999,20-24,30-34,Younger daughter w/o brothers,Eldest son w/o brothers,36,16190,8633
1990-1999,20-24,30-34,Younger daughter w/o brothers,Eldest son w/ brothers,22,16197,6318
1990-1999,20-24,30-34,Younger daughter w/o brothers,Younger son,25,16195.5,7007.5
1990-1999,20-24,30-34,Daughter w/ brothers,Only child,28,50382,2251
1990-1999,20-24,30-34,Daughter w/ brothers,Eldest son w/o brothers,102,50345,8600
1990-1999,20-24,30-34,Daughter w/ brothers,Eldest son w/ brothers,95,50348.5,6281.5
1990-1999,20-24,30-34,Daughter w/ brothers,Younger son,100,50346,6970
1990-1999,20-24,35-39,Only child,Only child,0,5909,795
1990-1999,20-24,35-39,Only child,Eldest son w/o brothers,1,5908.5,3000.5
1990-1999,20-24,35-39,Only child,Eldest son w/ brothers,1,5908.5,2502.5
1990-1999,20-24,35-39,Only child,Younger son,0,5909,3327
1990-1999,20-24,35-39,Eldest daughter w/o brothers,Only child,0,13978,795
1990-1999,20-24,35-39,Eldest daughter w/o brothers,Eldest son w/o brothers,4,13976,2999
1990-1999,20-24,35-39,Eldest daughter w/o brothers,Eldest son w/ brothers,4,13976,2501
1990-1999,20-24,35-39,Eldest daughter w/o brothers,Younger son,3,13976.5,3325.5
1990-1999,20-24,35-39,Younger daughter w/o brothers,Only child,2,16207,794
1990-1999,20-24,35-39,Younger daughter w/o brothers,Eldest son w/o brothers,2,16207,3000
1990-1999,20-24,35-39,Younger daughter w/o brothers,Eldest son w/ brothers,3,16206.5,2501.5
1990-1999,20-24,35-39,Younger daughter w/o brothers,Younger son,5,16205.5,3324.5
1990-1999,20-24,35-39,Daughter w/ brothers,Only child,3,50394.5,793.5
1990-1999,20-24,35-39,Daughter w/ brothers,Eldest son w/o brothers,16,50388,2993
1990-1999,20-24,35-39,Daughter w/ brothers,Eldest son w/ brothers,7,50392.5,2499.5
1990-1999,20-24,35-39,Daughter w/ brothers,Younger son,22,50385,3316
1990-1999,20-24,40-44,Only child,Only child,0,5909,221
1990-1999,20-24,40-44,Only child,Eldest son w/o brothers,0,5909,1019
1990-1999,20-24,40-44,Only child,Eldest son w/ brothers,0,5909,1047
1990-1999,20-24,40-44,Only child,Younger son,0,5909,1686
1990-1999,20-24,40-44,Eldest daughter w/o brothers,Only child,0,13978,221
1990-1999,20-24,40-44,Eldest daughter w/o brothers,Eldest son w/o brothers,2,13977,1018
1990-1999,20-24,40-44,Eldest daughter w/o brothers,Eldest son w/ brothers,0,13978,1047
1990-1999,20-24,40-44,Eldest daughter w/o brothers,Younger son,2,13977,1685
1990-1999,20-24,40-44,Younger daughter w/o brothers,Only child,0,16208,221
1990-1999,20-24,40-44,Younger daughter w/o brothers,Eldest son w/o brothers,1,16207.5,1018.5
1990-1999,20-24,40-44,Younger daughter w/o brothers,Eldest son w/ brothers,0,16208,1047
1990-1999,20-24,40-44,Younger daughter w/o brothers,Younger son,1,16207.5,1685.5
1990-1999,20-24,40-44,Daughter w/ brothers,Only child,0,50396,221
1990-1999,20-24,40-44,Daughter w/ brothers,Eldest son w/o brothers,3,50394.5,1017.5
1990-1999,20-24,40-44,Daughter w/ brothers,Eldest son w/ brothers,4,50394,1045
1990-1999,20-24,40-44,Daughter w/ brothers,Younger son,2,50395,1685
1990-1999,20-24,45-49,Only child,Only child,0,5909,47
1990-1999,20-24,45-49,Only child,Eldest son w/o brothers,0,5909,185
1990-1999,20-24,45-49,Only child,Eldest son w/ brothers,0,5909,273
1990-1999,20-24,45-49,Only child,Younger son,1,5908.5,411.5
1990-1999,20-24,45-49,Eldest daughter w/o brothers,Only child,0,13978,47
1990-1999,20-24,45-49,Eldest daughter w/o brothers,Eldest son w/o brothers,0,13978,185
1990-1999,20-24,45-49,Eldest daughter w/o brothers,Eldest son w/ brothers,0,13978,273
1990-1999,20-24,45-49,Eldest daughter w/o brothers,Younger son,0,13978,412
1990-1999,20-24,45-49,Younger daughter w/o brothers,Only child,0,16208,47
1990-1999,20-24,45-49,Younger daughter w/o brothers,Eldest son w/o brothers,0,16208,185
1990-1999,20-24,45-49,Younger daughter w/o brothers,Eldest son w/ brothers,0,16208,273
1990-1999,20-24,45-49,Younger daughter w/o brothers,Younger son,0,16208,412
1990-1999,20-24,45-49,Daughter w/ brothers,Only child,0,50396,47
1990-1999,20-24,45-49,Daughter w/ brothers,Eldest son w/o brothers,0,50396,185
1990-1999,20-24,45-49,Daughter w/ brothers,Eldest son w/ brothers,0,50396,273
1990-1999,20-24,45-49,Daughter w/ brothers,Younger son,2,50395,411
1990-1999,25-29,15-19,Only child,Only child,0,3499,5318
1990-1999,25-29,15-19,Only child,Eldest son w/o brothers,0,3499,28810
1990-1999,25-29,15-19,Only child,Eldest son w/ brothers,0,3499,20818
1990-1999,25-29,15-19,Only child,Younger son,0,3499,24926
1990-1999,25-29,15-19,Eldest daughter w/o brothers,Only child,0,6799,5318
1990-1999,25-29,15-19,Eldest daughter w/o brothers,Eldest son w/o brothers,0,6799,28810
1990-1999,25-29,15-19,Eldest daughter w/o brothers,Eldest son w/ brothers,0,6799,20818
1990-1999,25-29,15-19,Eldest daughter w/o brothers,Younger son,0,6799,24926
1990-1999,25-29,15-19,Younger daughter w/o brothers,Only child,0,7796,5318
1990-1999,25-29,15-19,Younger daughter w/o brothers,Eldest son w/o brothers,0,7796,28810
1990-1999,25-29,15-19,Younger daughter w/o brothers,Eldest son w/ brothers,0,7796,20818
1990-1999,25-29,15-19,Younger daughter w/o brothers,Younger son,0,7796,24926
1990-1999,25-29,15-19,Daughter w/ brothers,Only child,0,24598,5318
1990-1999,25-29,15-19,Daughter w/ brothers,Eldest son w/o brothers,1,24597.5,28809.5
1990-1999,25-29,15-19,Daughter w/ brothers,Eldest son w/ brothers,0,24598,20818
1990-1999,25-29,15-19,Daughter w/ brothers,Younger son,3,24596.5,24924.5
1990-1999,25-29,20-24,Only child,Only child,0,3499,6292
1990-1999,25-29,20-24,Only child,Eldest son w/o brothers,7,3495.5,31242.5
1990-1999,25-29,20-24,Only child,Eldest son w/ brothers,10,3494,23526
1990-1999,25-29,20-24,Only child,Younger son,10,3494,26377
1990-1999,25-29,20-24,Eldest daughter w/o brothers,Only child,3,6797.5,6290.5
1990-1999,25-29,20-24,Eldest daughter w/o brothers,Eldest son w/o brothers,27,6785.5,31232.5
1990-1999,25-29,20-24,Eldest daughter w/o brothers,Eldest son w/ brothers,22,6788,23520
1990-1999,25-29,20-24,Eldest daughter w/o brothers,Younger son,38,6780,26363
1990-1999,25-29,20-24,Younger daughter w/o brothers,Only child,3,7794.5,6290.5
1990-1999,25-29,20-24,Younger daughter w/o brothers,Eldest son w/o brothers,28,7782,31232
1990-1999,25-29,20-24,Younger daughter w/o brothers,Eldest son w/ brothers,19,7786.5,23521.5
1990-1999,25-29,20-24,Younger daughter w/o brothers,Younger son,38,7777,26363
1990-1999,25-29,20-24,Daughter w/ brothers,Only child,21,24587.5,6281.5
1990-1999,25-29,20-24,Daughter w/ brothers,Eldest son w/o brothers,99,24548.5,31196.5
1990-1999,25-29,20-24,Daughter w/ brothers,Eldest son w/ brothers,65,24565.5,23498.5
1990-1999,25-29,20-24,Daughter w/ brothers,Younger son,82,24557,26341
1990-1999,25-29,25-29,Only child,Only child,22,3488,4891
1990-1999,25-29,25-29,Only child,Eldest son w/o brothers,81,3458.5,21288.5
1990-1999,25-29,25-29,Only child,Eldest son w/ brothers,77,3460.5,16010.5
1990-1999,25-29,25-29,Only child,Younger son,72,3463,16966
1990-1999,25-29,25-29,Eldest daughter w/o brothers,Only child,49,6774.5,4877.5
1990-1999,25-29,25-29,Eldest daughter w/o brothers,Eldest son w/o brothers,263,6667.5,21197.5
1990-1999,25-29,25-29,Eldest daughter w/o brothers,Eldest son w/ brothers,176,6711,15961
1990-1999,25-29,25-29,Eldest daughter w/o brothers,Younger son,208,6695,16898
1990-1999,25-29,25-29,Younger daughter w/o brothers,Only child,42,7775,4881
1990-1999,25-29,25-29,Younger daughter w/o brothers,Eldest son w/o brothers,245,7673.5,21206.5
1990-1999,25-29,25-29,Younger daughter w/o brothers,Eldest son w/ brothers,220,7686,15939
1990-1999,25-29,25-29,Younger daughter w/o brothers,Younger son,233,7679.5,16885.5
1990-1999,25-29,25-29,Daughter w/ brothers,Only child,169,24513.5,4817.5
1990-1999,25-29,25-29,Daughter w/ brothers,Eldest son w/o brothers,831,24182.5,20913.5
1990-1999,25-29,25-29,Daughter w/ brothers,Eldest son w/ brothers,630,24283,15734
1990-1999,25-29,25-29,Daughter w/ brothers,Younger son,679,24258.5,16662.5
1990-1999,25-29,30-34,Only child,Only child,8,3495,2261
1990-1999,25-29,30-34,Only child,Eldest son w/o brothers,29,3484.5,8636.5
1990-1999,25-29,30-34,Only child,Eldest son w/ brothers,27,3485.5,6315.5
1990-1999,25-29,30-34,Only child,Younger son,49,3474.5,6995.5
1990-1999,25-29,30-34,Eldest daughter w/o brothers,Only child,14,6792,2258
1990-1999,25-29,30-34,Eldest daughter w/o brothers,Eldest son w/o brothers,102,6748,8600
1990-1999,25-29,30-34,Eldest daughter w/o brothers,Eldest son w/ brothers,55,6771.5,6301.5
1990-1999,25-29,30-34,Eldest daughter w/o brothers,Younger son,89,6754.5,6975.5
1990-1999,25-29,30-34,Younger daughter w/o brothers,Only child,24,7784,2253
1990-1999,25-29,30-34,Younger daughter w/o brothers,Eldest son w/o brothers,96,7748,8603
1990-1999,25-29,30-34,Younger daughter w/o brothers,Eldest son w/ brothers,84,7754,6287
1990-1999,25-29,30-34,Younger daughter w/o brothers,Younger son,77,7757.5,6981.5
1990-1999,25-29,30-34,Daughter w/ brothers,Only child,77,24559.5,2226.5
1990-1999,25-29,30-34,Daughter w/ brothers,Eldest son w/o brothers,339,24428.5,8481.5
